t(s),r(km),v(km/s)
1017,11919.1,3.04852
1018,11922.1,3.04571
1019,11925.2,3.04291
1020,11928.2,3.04011
1021,11931.2,3.03731
1022,11934.3,3.03451
1023,11937.3,3.03171
1024,11940.3,3.02892
1025,11943.4,3.02612
1026,11946.4,3.02333
1027,11949.4,3.02054
1028,11952.4,3.01774
1029,11955.5,3.01496
1030,11958.5,3.01217
1031,11961.5,3.00938
1032,11964.5,3.0066
1033,11967.5,3.00381
1034,11970.5,3.00103
1035,11973.5,2.99825
1036,11976.5,2.99547
1037,11979.5,2.99269
1038,11982.5,2.98992
1039,11985.5,2.98714
1040,11988.5,2.98437
1041,11991.4,2.98159
1042,11994.4,2.97882
1043,11997.4,2.97605
1044,12000.4,2.97328
1045,12003.3,2.97052
1046,12006.3,2.96775
1047,12009.3,2.96499
1048,12012.2,2.96222
1049,12015.2,2.95946
1050,12018.2,2.9567
1051,12021.1,2.95394
1052,12024.1,2.95119
1053,12027,2.94843
1054,12030,2.94568
1055,12032.9,2.94292
1056,12035.8,2.94017
1057,12038.8,2.93742
1058,12041.7,2.93467
1059,12044.7,2.93192
1060,12047.6,2.92918
1061,12050.5,2.92643
1062,12053.4,2.92369
1063,12056.4,2.92094
1064,12059.3,2.9182
1065,12062.2,2.91546
1066,12065.1,2.91272
1067,12068,2.90999
1068,12070.9,2.90725
1069,12073.8,2.90451
1070,12076.7,2.90178
1071,12079.6,2.89905
1072,12082.5,2.89632
1073,12085.4,2.89359
1074,12088.3,2.89086
1075,12091.2,2.88813
1076,12094.1,2.88541
1077,12097,2.88268
1078,12099.9,2.87996
1079,12102.7,2.87724
1080,12105.6,2.87452
1081,12108.5,2.8718
1082,12111.4,2.86908
1083,12114.2,2.86636
1084,12117.1,2.86365
1085,12120,2.86094
1086,12122.8,2.85822
1087,12125.7,2.85551
1088,12128.5,2.8528
1089,12131.4,2.85009
1090,12134.2,2.84739
1091,12137.1,2.84468
1092,12139.9,2.84197
1093,12142.8,2.83927
1094,12145.6,2.83657
1095,12148.4,2.83387
1096,12151.3,2.83117
1097,12154.1,2.82847
1098,12156.9,2.82577
1099,12159.7,2.82307
1100,12162.6,2.82038
1101,12165.4,2.81768
1102,12168.2,2.81499
1103,12171,2.8123
1104,12173.8,2.80961
1105,12176.6,2.80692
1106,12179.4,2.80423
1107,12182.2,2.80155
1108,12185,2.79886
1109,12187.8,2.79618
1110,12190.6,2.7935
1111,12193.4,2.79082
1112,12196.2,2.78814
1113,12199,2.78546
1114,12201.8,2.78278
1115,12204.6,2.7801
1116,12207.4,2.77743
1117,12210.1,2.77475
1118,12212.9,2.77208
1119,12215.7,2.76941
1120,12218.4,2.76674
1121,12221.2,2.76407
1122,12224,2.7614
1123,12226.7,2.75873
1124,12229.5,2.75607
1125,12232.2,2.7534
1126,12235,2.75074
1127,12237.7,2.74808
1128,12240.5,2.74542
1129,12243.2,2.74276
1130,12246,2.7401
1131,12248.7,2.73744
1132,12251.5,2.73479
1133,12254.2,2.73213
1134,12256.9,2.72948
1135,12259.6,2.72683
1136,12262.4,2.72418
1137,12265.1,2.72153
1138,12267.8,2.71888
1139,12270.5,2.71623
1140,12273.2,2.71358
1141,12276,2.71094
1142,12278.7,2.70829
1143,12281.4,2.70565
1144,12284.1,2.70301
1145,12286.8,2.70037
1146,12289.5,2.69773
1147,12292.2,2.69509
1148,12294.9,2.69245
1149,12297.6,2.68982
1150,12300.2,2.68718
1151,12302.9,2.68455
1152,12305.6,2.68191
1153,12308.3,2.67928
1154,12311,2.67665
1155,12313.7,2.67402
1156,12316.3,2.6714
1157,12319,2.66877
1158,12321.7,2.66614
1159,12324.3,2.66352
