t,x,y,vx,vy
641,1.35739e+06,690511,1682.13,1356.67
642,1.35907e+06,691869,1685.23,1358.25
643,1.36076e+06,693229,1688.33,1359.83
644,1.36245e+06,694591,1691.44,1361.41
645,1.36414e+06,695954,1694.54,1363
646,1.36584e+06,697318,1697.66,1364.58
647,1.36754e+06,698684,1700.77,1366.18
648,1.36925e+06,700052,1703.89,1367.77
649,1.37095e+06,701421,1707.01,1369.36
650,1.37266e+06,702792,1710.14,1370.96
651,1.37438e+06,704165,1713.27,1372.57
652,1.37609e+06,705539,1716.4,1374.17
653,1.37781e+06,706915,1719.54,1375.78
654,1.37954e+06,708292,1722.67,1377.39
655,1.38126e+06,709671,1725.82,1379
656,1.38299e+06,711052,1728.96,1380.62
657,1.38472e+06,712434,1732.11,1382.24
658,1.38646e+06,713818,1735.26,1383.86
659,1.3882e+06,715204,1738.41,1385.48
660,1.38994e+06,716591,1741.57,1387.11
661,1.39168e+06,717979,1744.73,1388.74
662,1.39343e+06,719370,1747.89,1390.37
663,1.39518e+06,720762,1751.06,1392
664,1.39694e+06,722155,1754.23,1393.64
665,1.39869e+06,723551,1757.4,1395.28
666,1.40045e+06,724948,1760.58,1396.92
667,1.40222e+06,726346,1763.76,1398.57
668,1.40398e+06,727746,1766.94,1400.22
669,1.40575e+06,729148,1770.13,1401.87
670,1.40753e+06,730552,1773.32,1403.52
671,1.4093e+06,731957,1776.51,1405.18
672,1.41108e+06,733364,1779.7,1406.84
673,1.41287e+06,734772,1782.9,1408.5
674,1.41465e+06,736182,1786.1,1410.17
675,1.41644e+06,737594,1789.3,1411.83
676,1.41824e+06,739008,1792.51,1413.5
677,1.42003e+06,740423,1795.72,1415.17
678,1.42183e+06,741840,1798.93,1416.85
679,1.42363e+06,743258,1802.15,1418.53
680,1.42544e+06,744679,1805.37,1420.21
681,1.42725e+06,746100,1808.59,1421.89
682,1.42906e+06,747524,1811.81,1423.58
683,1.43087e+06,748949,1815.04,1425.26
684,1.43269e+06,750376,1818.27,1426.96
685,1.43451e+06,751805,1821.5,1428.65
686,1.43634e+06,753235,1824.74,1430.34
687,1.43817e+06,754667,1827.98,1432.04
688,1.44e+06,756101,1831.22,1433.74
689,1.44183e+06,757536,1834.46,1435.45
690,1.44367e+06,758974,1837.71,1437.15
691,1.44551e+06,760412,1840.96,1438.86
692,1.44735e+06,761853,1844.22,1440.57
693,1.4492e+06,763295,1847.47,1442.29
694,1.45105e+06,764739,1850.73,1444.01
695,1.45291e+06,766185,1853.99,1445.72
696,1.45476e+06,767633,1857.26,1447.45
697,1.45662e+06,769082,1860.53,1449.17
698,1.45849e+06,770533,1863.8,1450.9
699,1.46035e+06,771985,1867.07,1452.63
700,1.46222e+06,773440,1870.35,1454.36
701,1.4641e+06,774896,1873.63,1456.09
702,1.46598e+06,776353,1876.91,1457.83
703,1.46786e+06,777813,1880.19,1459.57
704,1.46974e+06,779274,1883.48,1461.31
705,1.47163e+06,780737,1886.77,1463.06
706,1.47352e+06,782202,1890.06,1464.8
